"panel","chr","from","to","length","count","relcount","rel1Mcount"
"AXB","10",66730215,67348211,617997,8,0.32,0.32
"BXD","9",114377916,115433905,1055990,23,0.252747252747253,0.239346255880503
"BXD","7",141367748,142031772,664025,18,0.197802197802198,0.197802197802198
"LXS","16",91062607,91471704,409098,11,0.171875,0.171875
"AXB","5",22349753,24085810,1736058,7,0.28,0.161284934028702
"AXB","3",155760254,156250828,490575,4,0.16,0.16
"AXB","4",148725723,148933031,207309,4,0.16,0.16
"AXB","10",120019633,120025352,5720,4,0.16,0.16
"AXB","13",107715613,108329330,613718,4,0.16,0.16
"BXD","10",121498880,122405637,906758,14,0.153846153846154,0.153846153846154
"BXD","19",58639693,58760691,120999,14,0.153846153846154,0.153846153846154
"BXD","13",54715399,54946285,230887,14,0.153846153846154,0.153846153846154
"BXD","11",63114485,64552416,1437932,20,0.21978021978022,0.1528446545318
"BXD","7",25192420,26362930,1170511,16,0.175824175824176,0.150211468174307
"BXD","2",158931866,159277409,345544,13,0.142857142857143,0.142857142857143
"LXS","4",153643717,154663657,1019941,9,0.140625,0.137875622217364
"BXD","5",139209618,139818451,608834,12,0.131868131868132,0.131868131868132
"BXD","18",85748050,85934473,186424,12,0.131868131868132,0.131868131868132
"BXD","8",98198482,98286282,87801,12,0.131868131868132,0.131868131868132
"LXS","13",112219879,113293149,1073271,9,0.140625,0.131024689943174
"BXD","17",69360349,70520416,1160068,13,0.142857142857143,0.123145490486026
"BXD","17",85333319,86266796,933478,11,0.120879120879121,0.120879120879121
"BXD","18",68335373,68344750,9378,11,0.120879120879121,0.120879120879121
"BXD","2",35053517,35957195,903679,11,0.120879120879121,0.120879120879121
"BXD","2",167388897,168261798,872902,11,0.120879120879121,0.120879120879121
"BXD","6",36704943,37607958,903016,11,0.120879120879121,0.120879120879121
"BXD","2",170233415,170729276,495862,11,0.120879120879121,0.120879120879121
"BXD","14",118247912,118934754,686843,11,0.120879120879121,0.120879120879121
