"panel","strain","chr","from","to"
"AXB","AXB.1","1",52074620,53273314
"AXB","AXB.1","1",172970026,172987566
"AXB","AXB.1","1",190564922,190663258
"AXB","AXB.1","10",12167400,12327421
"AXB","AXB.1","10",30894064,42427605
"AXB","AXB.1","11",47007068,53988308
"AXB","AXB.1","12",56184414,57610542
"AXB","AXB.1","14",43917987,46195719
"AXB","AXB.1","14",78750346,83791472
"AXB","AXB.1","14",118247912,120383494
"AXB","AXB.1","14",120516156,120544641
"AXB","AXB.1","14",122646215,123390033
"AXB","AXB.1","15",14697179,14706927
"AXB","AXB.1","15",28251499,29502604
"AXB","AXB.1","15",31901839,32263325
"AXB","AXB.1","15",55315633,55326289
"AXB","AXB.1","16",27345012,27381967
"AXB","AXB.1","16",66898485,67067125
"AXB","AXB.1","16",73096968,73149824
"AXB","AXB.1","16",77577448,77607291
"AXB","AXB.1","16",85204962,90025920
"AXB","AXB.1","16",92593868,92616810
"AXB","AXB.1","17",55425357,55433685
"AXB","AXB.1","19",28816754,32123866
"AXB","AXB.1","19",58537251,58545558
"AXB","AXB.1","2",93675242,93746790
"AXB","AXB.1","2",160946729,161028873
"AXB","AXB.1","3",95505385,95771293
"AXB","AXB.1","3",147621838,147746586
"AXB","AXB.1","3",155760254,156250828
"AXB","AXB.1","4",23212065,23930213
"AXB","AXB.1","4",96196230,97617566
"AXB","AXB.1","4",117849395,117867596
"AXB","AXB.1","4",131555158,132094952
"AXB","AXB.1","4",135924406,135995357
"AXB","AXB.1","4",154459615,154548869
"AXB","AXB.1","5",118207253,118215728
"AXB","AXB.1","5",119257657,119384570
"AXB","AXB.1","6",122600515,122729123
"AXB","AXB.1","7",127290665,127295265
"AXB","AXB.1","7",144104787,146334787
"AXB","AXB.1","8",11361555,14481189
"AXB","AXB.1","8",31838234,31848236
"AXB","AXB.1","8",98228126,98278400
"AXB","AXB.1","X",46443469,46584800
"AXB","AXB.10","1",128930524,128945980
"AXB","AXB.10","1",154230364,155637194
"AXB","AXB.10","1",165237195,169560324
"AXB","AXB.10","10",47370541,57191367
"AXB","AXB.10","10",66730215,67348211
"AXB","AXB.10","11",20652121,20802444
"AXB","AXB.10","13",64861437,64877519
"AXB","AXB.10","14",19817806,25595922
"AXB","AXB.10","14",46215721,46218156
"AXB","AXB.10","15",20914767,21066731
"AXB","AXB.10","15",25662349,25976896
"AXB","AXB.10","15",26473492,26518117
"AXB","AXB.10","15",34706202,34877149
"AXB","AXB.10","16",54901205,56222923
"AXB","AXB.10","16",94054465,95751361
"AXB","AXB.10","18",44076776,44112189
"AXB","AXB.10","19",11725331,11734045
"AXB","AXB.10","19",25449295,25461056
"AXB","AXB.10","19",27671957,27686268
"AXB","AXB.10","19",48646964,48653109
"AXB","AXB.10","19",56958212,57831412
"AXB","AXB.10","2",161278835,161516665
"AXB","AXB.10","2",174686776,178310390
"AXB","AXB.10","3",143232984,143265200
"AXB","AXB.10","3",143908228,144335110
"AXB","AXB.10","3",155030455,155044646
"AXB","AXB.10","4",86760633,86763305
"AXB","AXB.10","5",45679421,45729525
"AXB","AXB.10","5",50908607,52883319
"AXB","AXB.10","5",58761469,58812687
"AXB","AXB.10","5",66313112,66379287
"AXB","AXB.10","5",66718218,66740689
"AXB","AXB.10","6",140119514,143100912
"AXB","AXB.10","7",75700109,75884635
"AXB","AXB.10","7",87415236,87420069
"AXB","AXB.10","7",142012872,144104785
"AXB","AXB.10","7",149116346,149648426
"AXB","AXB.10","8",95365224,95394470
"AXB","AXB.10","9",51266535,51289441
"AXB","AXB.10","9",58639428,58765013
"AXB","AXB.10","9",114676439,114720319
"AXB","AXB.10","9",120805381,120857717
"AXB","AXB.12","1",32202098,32383955
"AXB","AXB.12","1",37658789,37683111
"AXB","AXB.12","1",62339903,62654297
"AXB","AXB.12","1",151062928,151063377
"AXB","AXB.12","1",153746862,153753402
"AXB","AXB.12","1",155637196,157548416
"AXB","AXB.12","1",164351874,164680089
"AXB","AXB.12","1",165237195,169560324
"AXB","AXB.12","10",12798790,12921702
"AXB","AXB.12","10",42427607,43717116
"AXB","AXB.12","10",57191369,61590280
"AXB","AXB.12","10",67747984,70729874
"AXB","AXB.12","10",74059353,74129043
"AXB","AXB.12","11",72363540,72995537
"AXB","AXB.12","11",78569943,81242665
"AXB","AXB.12","11",95057724,95098665
"AXB","AXB.12","11",97837739,98865157
"AXB","AXB.12","11",104831079,104866845
"AXB","AXB.12","11",109280149,110023547
"AXB","AXB.12","12",28286634,28342727
"AXB","AXB.12","12",103865047,106303360
"AXB","AXB.12","13",34241821,34248701
"AXB","AXB.12","13",35527629,35566711
"AXB","AXB.12","13",56895385,56913149
"AXB","AXB.12","13",57513187,57587523
"AXB","AXB.12","13",94672583,94686170
"AXB","AXB.12","13",96124173,96177089
"AXB","AXB.12","13",96305754,96335712
"AXB","AXB.12","15",55701292,60281680
"AXB","AXB.12","15",96519934,96536398
"AXB","AXB.12","16",22241842,23467677
"AXB","AXB.12","17",4709087,6019082
"AXB","AXB.12","17",6928092,6962296
"AXB","AXB.12","17",8037390,8380606
"AXB","AXB.12","17",28215801,28547977
"AXB","AXB.12","17",37278023,41174120
"AXB","AXB.12","17",51634998,51848322
"AXB","AXB.12","17",67934703,68057188
"AXB","AXB.12","17",81281807,83303569
"AXB","AXB.12","17",84102541,84151799
"AXB","AXB.12","18",15201215,15266314
"AXB","AXB.12","18",39046960,39079171
"AXB","AXB.12","19",26824824,26855288
"AXB","AXB.12","19",28816754,32123866
"AXB","AXB.12","19",32262543,32402161
"AXB","AXB.12","19",32477894,32865993
"AXB","AXB.12","2",14316679,18553601
"AXB","AXB.12","2",25483901,25505074
"AXB","AXB.12","2",59064472,59185776
"AXB","AXB.12","2",76329795,79182583
"AXB","AXB.12","2",161278835,161516665
"AXB","AXB.12","3",52771279,56453517
"AXB","AXB.12","3",65545651,67896670
"AXB","AXB.12","3",107021410,108811395
"AXB","AXB.12","4",43382054,43412772
"AXB","AXB.12","4",69658651,74457108
"AXB","AXB.12","4",113983185,114037019
"AXB","AXB.12","4",125147630,125189858
"AXB","AXB.12","4",148725723,148933031
"AXB","AXB.12","4",149260805,149286671
"AXB","AXB.12","5",22349753,24085810
"AXB","AXB.12","5",28565862,28635671
"AXB","AXB.12","5",29072269,31214049
"AXB","AXB.12","6",91437801,91743988
"AXB","AXB.12","6",117324381,118916090
"AXB","AXB.12","7",25242602,27101980
"AXB","AXB.12","7",53553151,57070505
"AXB","AXB.12","7",72138072,72983169
"AXB","AXB.12","7",144104787,146334787
"AXB","AXB.12","8",110489071,110523305
"AXB","AXB.12","9",111238430,111316026
"AXB","AXB.12","X",5262778,10112252
"AXB","AXB.12","X",158414345,160533551
"AXB","AXB.13","1",72526453,72551138
"AXB","AXB.13","1",80206427,80446964
"AXB","AXB.13","10",66730215,67348211
"AXB","AXB.13","10",74129045,75923008
"AXB","AXB.13","10",119125371,119139810
"AXB","AXB.13","11",20826689,24334100
"AXB","AXB.13","11",82765716,82787085
"AXB","AXB.13","11",109280149,110023547
"AXB","AXB.13","12",9198338,9216611
"AXB","AXB.13","12",36732632,36740051
"AXB","AXB.13","12",51808786,51816883
"AXB","AXB.13","12",101751902,101783191
"AXB","AXB.13","12",109527543,109543957
"AXB","AXB.13","12",110285229,110327669
"AXB","AXB.13","13",37690166,37742881
"AXB","AXB.13","13",48215255,52833952
"AXB","AXB.13","13",53343535,53377551
"AXB","AXB.13","13",106914590,106962709
"AXB","AXB.13","13",110400258,111189052
"AXB","AXB.13","14",19817806,25595922
"AXB","AXB.13","14",79769220,81597125
"AXB","AXB.13","15",90762714,90797148
"AXB","AXB.13","16",12865959,13834476
"AXB","AXB.13","16",15522963,20498908
"AXB","AXB.13","16",56554435,56583005
"AXB","AXB.13","17",77465031,78933988
"AXB","AXB.13","17",79459917,79471634
"AXB","AXB.13","19",17032305,17131326
"AXB","AXB.13","19",22485285,22530893
"AXB","AXB.13","19",26646122,26767526
"AXB","AXB.13","19",38242987,38252609
"AXB","AXB.13","2",52508997,52672635
